"","index","X","id","ano","anoconc","conc","cust","cust_km","rec","rec_km","tar","mat","avg","etp","npp","ext","value","fator","coef_adj","cust_adj","rec_adj","cust_km_adj","rec_km_adj","tar_adj"
"33",2014 jan,33,33,2014,"2014CONCEPA","CONCEPA",262142,2166.4599609375,267479,2210.57006835938,10.25,6275,3,1,3,121,3836.37,1.19675109543657,1.1860769425264,310920.581867755,317250.674510019,2569.59158568393,2621.90640090924,12.1572886608956
"34",2015 jan,34,34,2015,"2015CONCEPA","CONCEPA",369085,3050.2900390625,285943,2363.169921875,12.6099996566772,6640,3.4300000667572,1,3,121,4110.2,1.11702106953433,1.10705805070313,408598.520643764,316555.500192205,3376.84727804764,2616.16115861326,13.9600016392882
"35",2016 jan,35,35,2016,"2016CONCEPA","CONCEPA",248642,2054.88989257812,328176,2712.19995117188,13.8299999237061,7006,3,1,3,121,4550.23,1.00899954507794,1,248642,328176,2054.89256198347,2712.19834710744,13.8299999237061
"36",2012 jan,36,36,2012,"2012CONCER","CONCER",203120,1129.06994628906,236555,1314.93005371094,8,5977,3.24000000953674,1,3,179.899993896484,3422.79,1.34135602826934,1.32939210410221,270026.124185241,314474.349185898,1500.97906251523,1748.05091637107,10.6351368328177
"37",2013 jan,37,37,2013,"2013CONCER","CONCER",255431,1419.84997558594,244150,1357.14001464844,8,6342,4,1,3,179.899993896484,3633.44,1.26359042670307,1.25232011537276,319881.379389779,305753.956168259,1778.1066717203,1699.57735709648,10.0185609229821
"38",2014 jan,38,38,2014,"2014CONCER","CONCER",507358,2820.21997070312,249588,1387.36999511719,9,6707,4,1,3,179.899993896484,3836.37,1.19675109543657,1.1860769425264,601765.625406309,296030.571931279,3345.00081057573,1645.52852681928,10.6746924827376
"39",2015 jan,39,39,2015,"2015CONCER","CONCER",447208,2485.8701171875,255592,1420.75,11.1999998092651,7072,4,1,3,179.899993896484,4110.2,1.11702106953433,1.10705805070313,495085.216738845,282955.181295314,2752.00240987068,1572.84708668822,12.3990499567204
"40",2016 jan,40,40,2016,"2016CONCER","CONCER",212397,1180.64001464844,276577,1537.39001464844,12.3999996185303,7438,3.75999999046326,1,3,179.899993896484,4550.23,1.00899954507794,1,212397,276577,1180.63928408033,1537.3930482685,12.3999996185303
"41",2015 jan,41,41,2015,"2015CRO","CRO",883709,674.320007324219,130038,152.820007324219,3.45000004768372,116,3.77999997138977,3,9,850.900024414062,4110.2,1.11702106953433,1.10705805070313,978317.162928811,143959.614797333,1149.74395917134,169.185110667338,3.81935032771444
"42",2016 jan,42,42,2016,"2016CRO","CRO",428862,463.839996337891,381019,447.779998779297,4.80000019073486,482,4.5,3,9,850.900024414062,4550.23,1.00899954507794,1,428862,381019,504.009857439267,447.783510480416,4.80000019073486
"43",2012 jan,43,43,2012,"2012CRT","CRT",90592,635.72998046875,162210,1138.31994628906,12.2200002670288,5964,4,1,1,142.5,3422.79,1.34135602826934,1.32939210410221,120432.289494827,215640.693206419,845.138873647911,1513.26802250119,16.245171867115
"44",2013 jan,44,44,2013,"2013CRT","CRT",100260,703.580017089844,173821,1219.80004882812,12.2200002670288,6329,4,1,1,142.5,3633.44,1.26359042670307,1.25232011537276,125557.614767273,217679.534774208,881.106068542266,1527.57568262602,15.3033521442607
"45",2014 jan,45,45,2014,"2014CRT","CRT",94812,665.349975585938,184087,1291.83996582031,12.2200002670288,6694,4,1,1,142.5,3836.37,1.19675109543657,1.1860769425264,112454.327074813,218341.346118857,789.153172454827,1532.21997276391,14.4938605543893
"46",2015 jan,46,46,2015,"2015CRT","CRT",108444,761.010009765625,194426,1364.39001464844,12.2200002670288,7059,4,1,1,142.5,4110.2,1.11702106953433,1.10705805070313,120053.80325045,215240.868566007,842.48282982772,1510.46223555092,13.5282496752086
"47",2016 jan,47,47,2016,"2016CRT","CRT",78585,551.469970703125,197578,1386.51000976562,17.1100006103516,7425,4,1,1,142.5,4550.23,1.00899954507794,1,78585,197578,551.473684210526,1386.51228070175,17.1100006103516
"48",2015 jan,48,48,2015,"2015ECO101","ECO101",208165,437.410003662109,182936,384.399993896484,5.40000009536743,592,3.10999989509583,3,7,475.899993896484,4110.2,1.11702106953433,1.10705805070313,230450.739124617,202520.771563428,484.241945955443,425.553213197727,5.97811357937418
"49",2016 jan,49,49,2016,"2016ECO101","ECO101",200166,420.609985351562,179808,377.829986572266,5.80000019073486,958,4,3,7,475.899993896484,4550.23,1.00899954507794,1,200166,179808,420.605174547532,377.827279483242,5.80000019073486
"50",2015 jan,50,50,2015,"2015ECOPONTE","ECOPONTE",28370,2149.23999023438,63067,4777.7998046875,3.5,213,4,3,1,13.1999998092651,4110.2,1.11702106953433,1.10705805070313,31407.2368984478,69818.8300836942,2379.33616305077,5289.30538579919,3.87470317746095
"51",2016 jan,51,51,2016,"2016ECOPONTE","ECOPONTE",96713,7326.740234375,111857,8474.01953125,4,579,5,3,1,13.1999998092651,4550.23,1.00899954507794,1,96713,111857,7326.74253011102,8474.0152739614,4
"52",2012 jan,52,52,2012,"2012ECOSUL","ECOSUL",66490,106.589996337891,147601.515625,236.619995117188,8.44999980926514,4320,3.39000010490417,1,5,623.799987792969,3422.79,1.34135602826934,1.32939210410221,88391.2810017559,196220.289425394,141.698112746825,314.556417545998,11.2333630261022
"53",2013 jan,53,53,2013,"2013ECOSUL","ECOSUL",85585,137.199996948242,187590,300.720001220703,9.05000019073486,4685,4.3899998664856,1,5,623.799987792969,3633.44,1.26359042670307,1.25232011537276,107179.817074178,234922.730442776,171.817600467394,376.599447002144,11.3334972829846
"54",2014 jan,54,54,2014,"2014ECOSUL","ECOSUL",95797,153.570007324219,181922,291.640014648438,7.03999996185303,5050,4.3899998664856,1,5,623.799987792969,3836.37,1.19675109543657,1.1860769425264,113622.612863201,215773.489538287,182.145904274867,345.901721322091,8.3499816301406
"55",2015 jan,55,55,2015,"2015ECOSUL","ECOSUL",93353,149.649993896484,199019,319.040008544922,7.3600001335144,5415,4,1,5,623.799987792969,4110.2,1.11702106953433,1.10705805070313,103347.190207289,220325.586192886,165.673600881167,353.199087054181,8.14794740098322
"56",2016 jan,56,56,2016,"2016ECOSUL","ECOSUL",0,0,257764,413.220001220703,9.64999961853027,5781,4,1,5,623.799987792969,4550.23,1.00899954507794,1,0,257764,0,413.215782372776,9.64999961853027
